Region Name,Quarter,Year,Fixed State F&O,Reports per 100K-F&O together,State Pop,State Total Reports Quarter
Central Sumatra,2,2020,9425,223.4610645,4217737,9425
West Papua,2,2020,30679,288.9495879,10617423,30679
South Sulawesi,3,2020,10410,337.969895,3080156,10410
Yogyakarta,2,2020,3122,320.611565,973764,0
South Sumatra,1,2019,19138,151.0280172,12671821,19138
Riau Islands,1,2019,15079,150.9884441,9986857,15079
Central Papua,4,2019,2985,142.3578174,2096829,2985
Aceh,2,2021,17554,358.01219,4903185,17554
East Nusa Tenggara,3,2020,22338,251.4920307,8882190,22338
South East Java,2,2018,19696,168.4988579,11689100,19696
Bengkulu,3,2021,6208,205.7124982,3017804,6208
Southeast Sulawesi,2,2021,1283,168.3590049,762062,1283
East Nusa Tenggara,4,2021,20995,236.3718858,8882190,20995
Bengkulu,4,2021,5124,169.7923391,3017804,5124
South Sumatra,3,2020,28068,221.4993409,12671821,28068
Sumatra,4,2020,70004,241.4273945,28995881,70004
Puerto Rico,4,2019,1057,33.09647073,3193694,1057
North Sumatra,1,2019,2435,136.2569353,1787065,2435
West Kalimantan,3,2018,3076,171.6377061,1792147,3076
Central Java,3,2021,103498,261.9391979,39512223,103498
West Sumatra,4,2021,9738,167.2496416,5822434,9738
Maluku,4,2018,10655,139.9231742,7614893,10655
West Papua,3,2020,33623,316.6775968,10617423,33623
Riau Islands,3,2019,15907,159.2793408,9986857,15907
East Papua,4,2021,12031,233.6699999,5148714,12031
Central Papua,3,2020,4611,219.9034828,2096829,4611
Maluku,1,2020,12332,161.945808,7614893,12332
West Sumatra,3,2019,10025,148.9107826,6732219,10025
West Papua,2,2018,26339,248.073379,10617423,0
East Kalimantan,1,2019,6041,135.2158047,4467673,6041
Southeast Sulawesi,1,2021,1525,200.1149513,762062,1525
Borneo,2,2020,1189,190.5482308,623989,1189
North Kalimantan,3,2019,10502,152.3684502,6892503,10502
Borneo,1,2022,1097,175.8043812,623989,1097
South East Java,1,2022,21749,186.0622289,11689100,21749
Sumatra,2,2019,51744,178.4529327,28995881,51744
West Kalimantan,1,2018,2346,130.9044403,1792147,2346
Central Papua,3,2018,3934,187.6166345,2096829,3934
Papua,3,2021,15207,247.7748008,6137428,15207
Sumatra,4,2019,44301,152.7837695,28995881,44301
Central Kalimantan,3,2020,3540,183.0017246,1934408,3540
South West Java,2,2021,8264,208.8466153,3956971,8264
Gorontalo,2,2021,12147,215.386394,5639632,12147
Bangka Belitung,2,2021,22454,371.405698,6045680,22454
East Nusa Tenggara,4,2018,14455,162.741396,8882190,14455
District of Columbia,1,2018,2100,297.5562133,705749,2100
Southeast Sulawesi,2,2020,859,112.7204873,762062,859
Central Java,2,2020,90270,228.4609499,39512223,90270
North Sulawesi,4,2018,3429,108.6822162,3155070,3429
East Papua,1,2018,9183,178.3552165,5148714,9183
South East Java,1,2021,34337,293.7522992,11689100,34337
North Sulawesi,2,2020,4259,134.9890811,3155070,4259
Java,1,2022,851,147.0387502,578759,851
South Kalimantan,3,2018,7656,164.6878739,4648794,7656
Bali,1,2018,12037,176.2585051,6829174,12037
South East Java,4,2020,25732,220.1367086,11689100,25732
Central Papua,4,2018,3139,149.7022409,2096829,3139
Central Sulawesi,3,2020,5352,183.7083129,2913314,5352
South Sulawesi,3,2019,8965,291.0566867,3080156,8965
East Java,2,2021,16056,278.8111836,5758736,16056
West Sumatra,1,2020,8552,146.8801536,5822434,8552
Central Sumatra,3,2020,9695,229.8626017,4217737,9695
North Sumatra,4,2020,3271,183.0375504,1787065,3271
West Papua,4,2021,32438,305.5166965,10617423,32438
East Papua,3,2018,9601,186.4737486,5148714,9601
South East Java,1,2020,19696,168.4988579,11689100,19696
Central Kalimantan,4,2019,2332,120.5536784,1934408,2332
West Kalimantan,2,2020,3171,176.9386105,1792147,3171
South Kalimantan,1,2022,9836,211.5817565,4648794,9836
Jakarta,1,2019,44731,208.2668207,21477737,44731
North Maluku,3,2021,7614,255.8339653,2976149,7614
West Sumatra,3,2018,9636,143.1325986,6732219,9636
Central Sulawesi,1,2021,9027,309.8533148,2913314,9027
Central Java,3,2018,69265,175.300185,39512223,69265
West Papua,2,2019,955,107.9511993,884659,955
West Nusa Tenggara,4,2020,2849,209.5298192,1359711,2849
Sumatra,2,2020,63827,220.1243687,28995881,63827
West Kalimantan,4,2020,3261,181.96052,1792147,3261
Lampung,4,2018,1780,132.4195886,1344212,1780
North Maluku,1,2022,4998,167.9351403,2976149,4998
Sulawesi,3,2019,18163,212.7931529,8535519,18163
Central Kalimantan,3,2019,2825,146.0395118,1934408,0
Central Sumatra,4,2020,10077,238.9195912,4217737,10077
West Papua,4,2019,770,87.03918685,884659,770
South Sulawesi,2,2019,8452,274.4016861,3080156,8452
Riau Islands,2,2021,23109,231.3941213,9986857,23109
Sumatra,1,2021,86722,299.0838595,28995881,86722
East Java,4,2019,9837,170.8187352,5758736,9837
North Maluku,4,2019,3841,129.0593986,2976149,3841
Central Papua,1,2022,1977,186.6219353,1059361,1977
Java,2,2018,695,120.0845257,578759,695
Southeast Sulawesi,4,2019,673,88.3130244,762062,673
North Maluku,1,2021,7240,243.2673902,2976149,7240
West Sumatra,2,2020,11868,176.2866003,6732219,11868
Aceh,1,2019,7506,153.0841688,4903185,7506
East Nusa Tenggara,4,2020,24228,272.7705667,8882190,24228
West Papua,1,2020,23369,220.1004895,10617423,23369
Borneo,4,2020,1255,201.1253404,623989,1255
Central Kalimantan,1,2018,2150,111.1451152,1934408,2150
Central Java,1,2018,21026,164.2401036,12801989,21026
Borneo,2,2019,902,144.5538303,623989,902
West Sulawesi,2,2021,29180,278.2205024,10488084,29180
North Kalimantan,3,2018,9666,140.2393296,6892503,9666
Maluku,3,2019,2217,156.5819509,1415872,2217
West Sulawesi,1,2021,30626,292.0075774,10488084,30626
Aceh,2,2019,9073,185.0429874,4903185,9073
Sulawesi,2,2019,16673,195.3366866,8535519,16673
East Java,4,2018,9927,172.3815782,5758736,9927
East Kalimantan,4,2018,6077,136.0215933,4467673,6077
West Nusa Tenggara,4,2019,2029,149.2228863,1359711,2029
West Sulawesi,1,2021,30626,292.0075774,10488084,30626
East Java,4,2019,9837,170.8187352,5758736,9837
East Java,1,2022,13566,235.5725284,5758736,13566
Java,2,2021,6880,214.6004408,3205958,6880
Central Java,1,2021,45333,354.1090373,12801989,45333
East Nusa Tenggara,2,2018,15068,169.6428471,8882190,15068
Bali,1,2021,2665,364.29748,731545,2665
North Sulawesi,2,2021,5185,164.3386676,3155070,5185
West Sulawesi,3,2018,18639,177.715968,10488084,18639
Bengkulu,3,2020,7580,251.1760207,3017804,7580
South Kalimantan,2,2020,9184,197.5566136,4648794,9184
Bangka Belitung,2,2019,13599,224.937476,6045680,13599
Riau,2,2020,44350,227.9788261,19453561,44350
Banten,3,2019,17195,236.2366884,7278717,17195
South East Java,4,2019,18599,159.1140464,11689100,18599
Borneo,4,2021,1081,173.2402334,623989,1081
Bangka Belitung,4,2019,11778,194.8167948,6045680,11778
East Papua,4,2021,12031,233.6699999,5148714,12031
Bali,1,2021,2665,364.29748,731545,2665
Papua,1,2020,10751,175.1710977,6137428,10751
Yogyakarta,2,2020,3122,320.611565,973764,3122
East Kalimantan,2,2020,8144,182.2872892,4467673,8144
North Sulawesi,4,2018,3429,108.6822162,3155070,3429
Bangka Belitung,2,2018,12039,199.133927,6045680,12039
Bangka Belitung,1,2020,12652,209.2733985,6045680,12652
Aceh,2,2020,10855,221.3867109,4903185,10855
West Kalimantan,3,2020,2111,197.5152932,1068778,2111
Riau Islands,3,2020,20907,209.3451423,9986857,20907
West Sumatra,3,2021,14335,212.9312787,6732219,14335
Maluku,2,2018,11301,148.4065502,7614893,11301
South East Java,4,2019,18599,159.1140464,11689100,18599
Central Sumatra,2,2021,10917,258.8354845,4217737,10917
Banten,1,2018,13883,190.7341637,7278717,0
Aceh,1,2020,8072,164.6276859,4903185,8072
Lampung,4,2021,2077,154.5143177,1344212,2077
Maluku,4,2018,10655,139.9231742,7614893,10655
Sulawesi,1,2022,19714,230.96428,8535519,19714
Maluku,4,2018,10655,139.9231742,7614893,10655
Maluku,1,2018,1648,116.3947023,1415872,1648
East Java,3,2018,10746,186.6034491,5758736,10746
Gorontalo,3,2019,8899,157.7939837,5639632,8899
West Java,3,2021,8611,241.5233332,3565287,8611
South East Java,4,2019,18599,159.1140464,11689100,18599
Maluku,1,2019,11478,150.7309426,7614893,11478
Bengkulu,4,2021,5124,169.7923391,3017804,5124
South Sumatra,1,2018,19232,151.7698206,12671821,19232
North Sulawesi,3,2021,4995,158.3166142,3155070,4995
South Kalimantan,3,2021,15421,331.7204419,4648794,15421
District of Columbia,3,2019,2336,330.995864,705749,2336
West Sumatra,2,2018,9613,142.7909579,6732219,9613
District of Columbia,4,2020,2740,388.2400117,705749,2740
West Kalimantan,1,2019,2677,149.3739074,1792147,2677
Maluku,1,2020,12332,161.945808,7614893,12332
Central Kalimantan,2,2018,2314,119.6231612,1934408,2314
Puerto Rico,1,2021,2663,83.38306676,3193694,2663
Southeast Sulawesi,4,2019,673,88.3130244,762062,673
East Nusa Tenggara,4,2020,24228,272.7705667,8882190,24228
Banten,2,2020,17491,240.3033392,7278717,17491
Lampung,3,2020,2382,177.204191,1344212,2382
Central Sulawesi,4,2021,4444,152.5410581,2913314,4444
Banten,2,2018,13798,189.5663755,7278717,13798
South Sumatra,4,2018,18460,145.6775628,12671821,18460
Central Java,3,2020,93753,237.2759437,39512223,93753
Java,3,2021,6702,209.0482782,3205958,6702
Maluku,2,2018,11301,148.4065502,7614893,11301
East Nusa Tenggara,1,2019,14368,161.7619078,8882190,14368
Central Papua,3,2018,3934,187.6166345,2096829,3934
Aceh,4,2018,7575,154.4914173,4903185,7575
Java,1,2019,4149,129.4152949,3205958,4149
South East Java,2,2019,22416,191.7683996,11689100,22416
North Maluku,4,2020,5768,193.8075009,2976149,5768
West Kalimantan,4,2018,1443,135.0140067,1068778,1443
Aceh,4,2019,7572,154.4302326,4903185,7572
South Sulawesi,3,2018,7577,245.9940341,3080156,7577
West Kalimantan,4,2018,1443,135.0140067,1068778,1443
Java,2,2021,1185,204.7484359,578759,1185
West Papua,4,2020,31130,293.1973229,10617423,31130
South Kalimantan,3,2020,10529,226.4888485,4648794,10529
North Sulawesi,2,2019,4380,138.8241782,3155070,4380
Gorontalo,4,2021,9218,163.4503812,5639632,9218
Borneo,2,2020,1189,190.5482308,623989,1189
Central Kalimantan,4,2019,2332,120.5536784,1934408,2332
Bali,3,2020,18443,270.0619431,6829174,18443
West Sumatra,1,2021,18207,270.4457475,6732219,18207
East Kalimantan,3,2020,8415,188.3530867,4467673,8415
East Java,4,2020,14701,255.2817146,5758736,14701
Central Sumatra,2,2020,9425,223.4610645,4217737,9425
West Papua,2,2021,39779,374.6577677,10617423,39779
Lampung,3,2020,2382,177.204191,1344212,2382
Jakarta,4,2021,63266,294.5654843,21477737,63266
Central Sulawesi,3,2018,4242,145.6073736,2913314,4242
North Sulawesi,3,2020,4774,151.3120153,3155070,4774
South Kalimantan,1,2022,9836,211.5817565,4648794,9836
East Nusa Tenggara,1,2018,14652,164.9593175,8882190,14652
West Nusa Tenggara,2,2021,3288,241.8160918,1359711,3288
North Maluku,2,2021,7159,240.5457522,2976149,7159
Lampung,4,2020,2510,186.7264985,1344212,2510
Aceh,4,2020,12498,254.8955424,4903185,12498
South Kalimantan,4,2019,6215,133.6905873,4648794,6215
District of Columbia,1,2020,1942,275.1686506,705749,1942
Riau Islands,3,2019,15907,159.2793408,9986857,15907
Papua,4,2019,9904,161.3705285,6137428,9904
Bangka Belitung,3,2019,13890,229.7508303,6045680,13890
Gorontalo,1,2020,8431,149.4955699,5639632,8431
Banten,3,2021,20775,285.4211807,7278717,20775
North Maluku,1,2022,4998,167.9351403,2976149,4998
Central Java,2,2020,29163,227.8005394,12801989,29163
North Maluku,1,2019,3756,126.2033588,2976149,3756
East Papua,3,2020,13139,255.1899367,5148714,13139
South Kalimantan,2,2020,9184,197.5566136,4648794,9184
West Papua,2,2021,39779,374.6577677,10617423,39779
Papua,3,2019,12453,202.9025839,6137428,12453
Java,1,2018,723,124.9224634,578759,723
East Java,3,2018,10746,186.6034491,5758736,10746
West Sumatra,3,2019,9499,163.1448291,5822434,9499
Aceh,1,2021,16281,332.049474,4903185,16281
Lampung,3,2018,1777,132.1964095,1344212,1777
Sumatra,3,2019,53177,183.3950139,28995881,53177
West Kalimantan,4,2021,1822,170.4750659,1068778,1822
Bengkulu,1,2020,4943,163.7946003,3017804,4943
Banten,3,2020,19028,261.419698,7278717,19028
South West Java,3,2019,5844,147.6887245,3956971,5844
Central Sulawesi,3,2020,5352,183.7083129,2913314,5352
Sulawesi,1,2022,19714,230.96428,8535519,19714
South Sulawesi,1,2021,11896,386.2142047,3080156,11896
West Papua,4,2019,21002,197.8069443,10617423,21002
Sumatra,4,2020,70004,241.4273945,28995881,70004
Sulawesi,4,2018,13729,160.8455209,8535519,13729
West Sulawesi,1,2020,18909,180.290318,10488084,18909
Central Papua,2,2019,1590,150.0904791,1059361,1590
West Sumatra,4,2018,8837,131.2642978,6732219,8837
West Papua,1,2019,914,103.3166452,884659,914
North Sulawesi,1,2021,6220,197.1430111,3155070,6220
District of Columbia,3,2021,3294,466.7381746,705749,3294
Central Papua,4,2020,2585,244.0150242,1059361,2585
South Sulawesi,4,2021,8893,288.7191428,3080156,8893
Bengkulu,1,2020,4943,163.7946003,3017804,4943
South Sulawesi,3,2019,8965,291.0566867,3080156,8965
Riau Islands,1,2020,15463,154.8334977,9986857,15463
Maluku,1,2020,12332,161.945808,7614893,12332
West Papua,4,2020,31130,293.1973229,10617423,31130
South Kalimantan,4,2021,14239,306.2944927,4648794,14239
Jakarta,4,2021,63266,294.5654843,21477737,63266
West Papua,1,2022,1098,124.1156197,884659,1098
South West Java,3,2018,5345,135.0780686,3956971,5345
Yogyakarta,1,2021,3822,392.4975661,973764,3822
Aceh,3,2020,12293,250.7145865,4903185,12293
District of Columbia,1,2019,1883,266.808738,705749,1883
North Kalimantan,3,2018,9666,140.2393296,6892503,9666
Bengkulu,2,2018,3982,131.9502526,3017804,3982
Lampung,1,2019,1750,130.1877978,1344212,1750
Jakarta,3,2019,54592,254.179479,21477737,54592
Bangka Belitung,2,2020,17240,285.1622977,6045680,0
Central Sumatra,4,2018,6267,148.5867896,4217737,6267
Sulawesi,2,2019,16673,195.3366866,8535519,16673
East Java,4,2019,9837,170.8187352,5758736,9837
Bangka Belitung,4,2019,11778,194.8167948,6045680,11778
Central Papua,1,2022,3617,172.4985681,2096829,3617
Lampung,3,2019,2000,148.7860546,1344212,2000
East Java,2,2021,16056,278.8111836,5758736,16056
West Sumatra,2,2018,9613,142.7909579,6732219,9613
North Maluku,4,2018,4028,135.3426861,2976149,4028
North Sulawesi,2,2020,4259,134.9890811,3155070,4259
East Papua,4,2021,12031,233.6699999,5148714,12031
West Papua,2,2018,841,95.06487811,884659,841
West Papua,3,2018,25037,235.8105164,10617423,25037
Central Sumatra,1,2018,6387,151.4319172,4217737,6387
West Papua,3,2018,25037,235.8105164,10617423,25037
Central Papua,3,2020,2284,215.6016693,1059361,2284
East Java,1,2020,10748,186.6381789,5758736,10748
Central Java,3,2021,103498,261.9391979,39512223,103498
West Sulawesi,4,2019,17465,166.5223124,10488084,0
Aceh,4,2018,7575,154.4914173,4903185,7575
District of Columbia,1,2021,3294,466.7381746,705749,3294
Riau Islands,4,2021,18881,189.0584796,9986857,18881
South Kalimantan,4,2019,6215,133.6905873,4648794,6215
Central Papua,1,2022,3617,172.4985681,2096829,3617
Bali,2,2020,15891,232.6928557,6829174,15891
Borneo,2,2021,1457,233.4977059,623989,1457
South East Java,1,2018,19523,167.0188466,11689100,19523
Sumatra,4,2020,70004,241.4273945,28995881,70004
West Kalimantan,3,2019,1947,182.1706659,1068778,0
Sulawesi,4,2020,22348,261.8235634,8535519,22348
Jakarta,2,2021,80027,372.6044322,21477737,80027
Southeast Sulawesi,3,2021,1066,139.8836315,762062,1066
Papua,4,2020,14355,233.8927642,6137428,14355
Central Papua,2,2018,3650,174.0723731,2096829,3650
West Kalimantan,1,2021,2577,241.11649,1068778,2577
West Papua,3,2021,1121,126.7154915,884659,1121
Lampung,4,2018,1780,132.4195886,1344212,1780
Central Java,1,2022,81300,205.7591141,39512223,81300
West Nusa Tenggara,4,2021,2382,175.1842855,1359711,2382
Lampung,1,2019,1750,130.1877978,1344212,1750
Sulawesi,2,2021,24108,282.443282,8535519,24108
South Sulawesi,3,2019,8965,291.0566867,3080156,8965
Jakarta,1,2019,44731,208.2668207,21477737,44731
Central Sulawesi,4,2020,8220,282.1529022,2913314,8220
West Papua,4,2018,22315,210.1734103,10617423,22315
North Sumatra,1,2018,2566,143.5873905,1787065,2566
West Sulawesi,3,2021,28870,275.2647671,10488084,28870
Bali,1,2018,988,135.0566267,731545,988
Central Sumatra,4,2018,6267,148.5867896,4217737,6267
Banten,3,2021,20775,285.4211807,7278717,20775
Southeast Sulawesi,3,2021,1066,139.8836315,762062,1066
Central Papua,2,2020,4366,208.2191729,2096829,4366
West Sumatra,3,2018,9636,143.1325986,6732219,9636
Central Papua,3,2019,3709,176.8861457,2096829,3709
Southeast Sulawesi,1,2021,1525,200.1149513,762062,1525
Central Java,2,2021,105059,265.8898741,39512223,105059
North Maluku,1,2019,3756,126.2033588,2976149,3756
Sulawesi,2,2021,24108,282.443282,8535519,24108
Borneo,4,2021,1081,173.2402334,623989,1081
South East Java,4,2021,23619,202.0600388,11689100,23619
North Sulawesi,4,2018,3429,108.6822162,3155070,3429
Banten,2,2019,14589,200.4336753,7278717,14589
Central Sumatra,1,2018,6387,151.4319172,4217737,6387
West Papua,1,2022,1098,124.1156197,884659,1098
North Maluku,2,2018,4223,141.8947774,2976149,4223
Central Papua,3,2018,3934,187.6166345,2096829,3934
Central Papua,3,2019,1785,168.497802,1059361,1785
West Sumatra,2,2021,15115,224.5173545,6732219,15115
East Java,3,2019,12836,222.8961355,5758736,12836
Banten,1,2018,13883,190.7341637,7278717,13883
Central Papua,3,2018,1744,164.6275443,1059361,1744
Sumatra,1,2018,54509,187.9887699,28995881,54509
South Kalimantan,2,2020,9184,197.5566136,4648794,9184
Riau,4,2021,43343,222.8023959,19453561,43343
South West Java,1,2022,5864,148.1941616,3956971,5864
West Papua,1,2021,1525,172.3828051,884659,1525
Central Java,4,2018,59360,150.2319928,39512223,59360
South Sumatra,4,2018,18460,145.6775628,12671821,18460
South Sulawesi,4,2018,6168,200.2495977,3080156,6168
West Nusa Tenggara,4,2019,2029,149.2228863,1359711,0
Yogyakarta,1,2018,2000,205.3885746,973764,2000
Java,1,2019,4149,129.4152949,3205958,4149
Gorontalo,1,2020,8431,149.4955699,5639632,8431
Central Papua,1,2020,3290,156.9035911,2096829,3290
Sulawesi,1,2020,16641,194.9617826,8535519,16641
Central Java,1,2020,64095,162.2156263,39512223,64095
Bali,1,2022,1304,178.2528758,731545,1304
North Sumatra,3,2021,3603,201.615498,1787065,3603
District of Columbia,4,2020,2740,388.2400117,705749,2740
South Kalimantan,3,2018,7656,164.6878739,4648794,7656
Central Kalimantan,2,2018,2314,119.6231612,1934408,2314
Maluku,4,2021,2436,172.0494508,1415872,2436
Central Java,1,2022,81300,205.7591141,39512223,81300
Puerto Rico,1,2019,786,24.61099905,3193694,786
Aceh,1,2021,16281,332.049474,4903185,16281
Bali,3,2020,18443,270.0619431,6829174,18443
Riau,1,2020,33837,173.9373064,19453561,33837
West Papua,4,2020,1256,141.9756087,884659,1256
Sulawesi,3,2019,18163,212.7931529,8535519,18163
Java,1,2018,3954,123.3328696,3205958,3954
North Kalimantan,1,2022,13697,198.7231634,6892503,13697
West Nusa Tenggara,4,2021,2382,175.1842855,1359711,2382
Java,3,2021,1067,184.359984,578759,1067
Central Java,4,2018,19324,150.9452945,12801989,19324
Yogyakarta,2,2020,3122,320.611565,973764,3122
West Sumatra,3,2021,12144,208.572566,5822434,12144
West Papua,3,2020,33623,316.6775968,10617423,33623
Bali,2,2019,1234,168.6840864,731545,1234
West Java,2,2018,5776,162.006593,3565287,5776
East Nusa Tenggara,2,2019,16349,184.064966,8882190,16349
Central Sumatra,4,2018,6267,148.5867896,4217737,6267
West Kalimantan,4,2019,2526,140.9482593,1792147,2526
Central Java,2,2020,29163,227.8005394,12801989,29163
West Papua,1,2022,31987,301.2689614,10617423,31987
Sulawesi,4,2019,14408,168.8005146,8535519,14408
Central Java,2,2018,20591,160.8421941,12801989,20591
North Sulawesi,4,2018,3429,108.6822162,3155070,3429
North Kalimantan,1,2022,13697,198.7231634,6892503,13697
District of Columbia,4,2019,1782,252.497701,705749,1782
Maluku,1,2020,12332,161.945808,7614893,12332
South East Java,4,2021,23619,202.0600388,11689100,23619
Central Kalimantan,1,2022,2709,140.0428452,1934408,2709
Bali,1,2019,11301,165.4812134,6829174,11301
South Kalimantan,4,2020,9730,209.3015952,4648794,9730
East Nusa Tenggara,1,2022,20097,226.2617665,8882190,20097
Sumatra,1,2022,61721,212.8612681,28995881,61721
South Sulawesi,3,2020,10410,337.969895,3080156,10410
Lampung,3,2021,2642,196.5463781,1344212,2642
Central Kalimantan,2,2018,2314,119.6231612,1934408,2314
Maluku,2,2020,18941,248.7362593,7614893,18941
East Java,1,2018,10464,181.7065412,5758736,10464
Riau,1,2019,34171,175.6542157,19453561,34171
North Maluku,1,2021,7240,243.2673902,2976149,7240
Java,4,2019,4078,127.2006683,3205958,4078
Papua,4,2018,10056,163.847136,6137428,10056
Bangka Belitung,2,2020,17240,285.1622977,6045680,17240
South Sulawesi,2,2018,6963,226.0599788,3080156,6963
Central Papua,4,2019,1326,125.1697958,1059361,1326
Java,4,2019,730,126.1319478,578759,730
West Kalimantan,2,2020,3171,176.9386105,1792147,3171
Aceh,4,2018,7575,154.4914173,4903185,7575
Central Sulawesi,3,2021,5831,200.1500696,2913314,5831
Riau Islands,3,2021,22572,226.0170542,9986857,22572
West Nusa Tenggara,2,2019,2450,180.1853482,1359711,2450
Central Papua,1,2020,1592,150.2792721,1059361,1592
Banten,4,2018,12272,168.6011422,7278717,12272
North Sumatra,2,2021,3816,213.5344825,1787065,3816
East Java,3,2019,12836,222.8961355,5758736,12836
South Sulawesi,4,2020,9672,314.0100696,3080156,9672
Central Java,3,2020,31348,244.8681998,12801989,31348
Central Papua,1,2019,1385,130.7391909,1059361,1385
Papua,1,2021,18016,293.5431585,6137428,18016
Central Kalimantan,1,2022,2709,140.0428452,1934408,2709
Central Papua,1,2020,1592,150.2792721,1059361,0
West Sumatra,2,2018,7455,128.0392358,5822434,7455
South Kalimantan,3,2020,10529,226.4888485,4648794,10529
North Sulawesi,4,2021,4153,131.6294092,3155070,0
North Maluku,4,2021,5522,185.5417857,2976149,5522
Lampung,1,2019,1750,130.1877978,1344212,1750
North Maluku,1,2020,4045,135.9138941,2976149,4045
Central Java,2,2018,68491,173.3412975,39512223,68491
Papua,3,2020,14546,237.004817,6137428,14546
Bengkulu,4,2018,4284,141.9575294,3017804,4284
Borneo,2,2020,1189,190.5482308,623989,1189
North Kalimantan,2,2018,9769,141.7337069,6892503,9769
Sumatra,4,2019,44301,152.7837695,28995881,44301
District of Columbia,4,2020,2740,388.2400117,705749,2740
Gorontalo,4,2021,9218,163.4503812,5639632,9218
Lampung,2,2020,2378,176.9066189,1344212,2378
Central Java,1,2022,33937,265.0916197,12801989,33937
Sumatra,3,2019,53177,183.3950139,28995881,53177
North Sumatra,1,2021,4438,248.3401555,1787065,4438
Jakarta,2,2018,59081,275.0801912,21477737,59081
Riau,1,2019,34171,175.6542157,19453561,34171
North Maluku,1,2021,7240,243.2673902,2976149,7240
East Kalimantan,3,2019,7447,166.6863264,4467673,7447
Central Kalimantan,1,2019,2237,115.6426152,1934408,2237
Bali,3,2019,13530,198.1205926,6829174,13530
Lampung,4,2019,1696,126.1705743,1344212,1696
Sumatra,1,2018,54509,187.9887699,28995881,54509
Central Papua,3,2020,4611,219.9034828,2096829,4611
Bangka Belitung,2,2018,12039,199.133927,6045680,12039
West Papua,3,2018,25037,235.8105164,10617423,25037
North Maluku,1,2020,4045,135.9138941,2976149,4045
West Kalimantan,1,2021,4228,235.9181473,1792147,4228
Java,2,2018,3891,121.3677784,3205958,3891
Riau,4,2021,43343,222.8023959,19453561,43343
Jakarta,3,2020,72298,336.6183318,21477737,72298
South East Java,1,2022,21749,186.0622289,11689100,21749
North Maluku,1,2019,3756,126.2033588,2976149,3756
Yogyakarta,2,2018,2036,209.085569,973764,2036
Southeast Sulawesi,4,2020,1113,146.0511087,762062,1113
Riau,4,2020,51445,264.4502978,19453561,51445
North Sulawesi,2,2019,4380,138.8241782,3155070,4380
West Kalimantan,1,2021,2577,241.11649,1068778,2577
Riau Islands,1,2018,19675,197.0089288,9986857,19675
Riau,1,2019,34171,175.6542157,19453561,34171
Central Sulawesi,1,2022,4348,149.2458417,2913314,4348
Sulawesi,1,2019,14590,170.932781,8535519,14590
Southeast Sulawesi,4,2019,673,88.3130244,762062,673
East Nusa Tenggara,1,2022,20097,226.2617665,8882190,20097
North Sulawesi,1,2019,3725,118.0639415,3155070,3725
North Kalimantan,1,2021,21023,305.0125622,6892503,21023
West Sumatra,2,2019,9564,164.2612007,5822434,9564
Bangka Belitung,2,2019,13599,224.937476,6045680,13599
Central Java,2,2019,23944,187.0334368,12801989,23944
Jakarta,3,2019,54592,254.179479,21477737,54592
South Sulawesi,3,2020,10410,337.969895,3080156,10410
Southeast Sulawesi,3,2019,800,104.9783351,762062,800
North Sulawesi,3,2021,4995,158.3166142,3155070,4995
Central Papua,4,2018,3139,149.7022409,2096829,3139
Banten,3,2019,17195,236.2366884,7278717,17195
Sulawesi,2,2020,21525,252.1815018,8535519,21525
Bangka Belitung,4,2021,17419,288.1230895,6045680,17419
Central Kalimantan,3,2018,2258,116.7282187,1934408,2258
West Papua,1,2020,23369,220.1004895,10617423,23369
Bengkulu,1,2020,4943,163.7946003,3017804,4943
Banten,2,2019,14589,200.4336753,7278717,14589
Riau Islands,3,2021,22572,226.0170542,9986857,22572
Bali,2,2021,21974,321.7665855,6829174,21974
Sumatra,4,2018,46567,160.5986726,28995881,46567
East Kalimantan,1,2019,6041,135.2158047,4467673,6041
Yogyakarta,2,2019,2162,222.0250492,973764,2162
Riau,2,2019,39284,201.9373214,19453561,39284
North Sumatra,4,2020,3271,183.0375504,1787065,3271
Jakarta,2,2021,80027,372.6044322,21477737,80027
North Maluku,4,2018,4028,135.3426861,2976149,4028
Central Papua,3,2021,4724,225.2925727,2096829,4724
West Kalimantan,4,2021,1822,170.4750659,1068778,1822
Riau,3,2018,31798,163.4559349,19453561,31798
Lampung,1,2019,1750,130.1877978,1344212,1750
District of Columbia,2,2019,2281,323.202725,705749,2281
Central Java,1,2020,22475,175.5586573,12801989,22475
East Papua,2,2018,9660,187.6196658,5148714,9660
West Sumatra,1,2018,7761,133.2947699,5822434,7761
Riau,1,2019,34171,175.6542157,19453561,34171
West Papua,1,2020,914,103.3166452,884659,914
South East Java,2,2019,22416,191.7683996,11689100,22416
North Sumatra,3,2021,3603,201.615498,1787065,3603
Lampung,3,2019,2000,148.7860546,1344212,2000
Aceh,2,2021,17554,358.01219,4903185,17554
Gorontalo,1,2020,8431,149.4955699,5639632,8431
Puerto Rico,4,2020,2035,63.71931688,3193694,2035
Central Java,3,2021,40852,319.1066638,12801989,40852
South Sumatra,2,2018,19834,156.520519,12671821,19834
South Kalimantan,3,2021,15421,331.7204419,4648794,15421
Bangka Belitung,3,2018,12271,202.9713779,6045680,12271
Java,4,2020,1021,176.4119435,578759,1021
Bangka Belitung,2,2020,17240,285.1622977,6045680,17240
West Kalimantan,4,2019,2526,140.9482593,1792147,2526
